id,meaning_id,example
29,26588,"Вот то место, где сидят волки, окружают, оставляют ворота, где остаются двое охотников, а двое начинают окружать."
30,403,"Проход такой узкий, чтобы мог пройти человек, а волк не мог бы назад повернуться."
31,1884,"Посреди ямы ставят столб."
32,1884,"В корзину кладут какую-нибудь козочку или ягненка."
33,2066,"Выкопают яму, эту яму всю обставляют ветками, чтоб не сыпалось с боков."
34,2066,"Все укрепят хорошенько, крепко, закрывают ее [яму], делают дверь."
35,423,"Макушка сломалась, я обернулся, смотрю – стоит такой медведь, выше меня."
36,12791,"Пока я подходил, услышал – сзади кто-то шуршит."
37,12791,"Слышу все время: кто-то шуршит сзади."
38,12791,"Оглядываюсь в темноту, в сторону, в другую – нигде никого не вижу, а слышу: кто-то шуршит."
39,14,"Проехал версту, ни одна не клюнула."
40,348,"Проехал версту, ни одна не клюнула."
41,1244,"Когда домой направился, об лодку как стукнет, чуть леску из зубов не вырвал."
42,1858,"Когда домой направился, об лодку как стукнет, чуть леску из зубов не вырвал."
43,1946,"Проехал версту, ни одна не клюнула."
44,26219,"Заяц как проскочит между березами, лиса-то хотела проскочить и застряла."
45,10,"Вышел из дому, идет по дороге и думает: «Не знаю, к кому пойти и где лошадь украсть»."
46,10,"«Далеко ли идешь?»."
47,10,"– «Да иду вот в такую-то деревню по делу»."
48,10,"– «И я в ту деревню иду»."
49,10,"«Иду, говорит, лошадь красть в такой-то дом»."
50,10,"– «А я, говорит, иду в тот дом мальчика красть»."
51,236,"Ну, муж говорит: «Денег нет для покупки [лошади], пойти куда-нибудь, к какому-нибудь богатому мужику на ночь и украсть лошадь»."
52,536,"Больше жителей не было."
53,1807,"«А ты научил бы нас так играть, и мы не тронули бы тебя»."
54,1807,"– «А почему не научу?"
55,1870,"По-русски старик не понимает, а просят по-русски."
56,26588,"Двое пошли, лавочнику говорят: «Он велел нам выбрать, что надо»."
57,25127,"Жена говорит: «Иди, мужик, попроси у барина денег в долг, понемногу расплатимся»."
58,25127,"«Дам, – говорит барин, – денег, только к такому-то сроку уплати»."
59,25127,"– «Уплачу, уплачу»."
60,25127,"– «Уплачу, уплачу»."
61,25127,"– «А не уплатишь, то я продам твою корову и деньги возьму обратно»."
62,25127,"– «Тогда уж возьми, раз не смогу уплатить»."
63,25127,"Барин просил деньги, да я не мог уплатить в срок."
64,25127,"– „Так нужно уплатить”."
65,25127,"– «Нужно уплатить»."
66,25127,"– «Да как же так, ведь ты взял, так нужно уплатить»."
67,25127,"– «А не можешь уплатить, так нужно корову обратно продать»."
68,1257,"– Как зовут?"
69,84,"Засветит ясное солнышко,  я на чужой холодной сторонушке,  хоть погреет мои узкие плечики."
70,46578,"Я красовалась и ликовала  на своем дубовом да на полу,  у родимых родителей  в красном да уголочке."
71,46578,"Родимая ты сестричка,  не забудь ты украсить да порадовать  мою белую волюшку,  как и свою белую волюшку."
72,1884,"Крупной ячневой крупы да сушеной рыбы немного положат, и вот такой суп ешь, а с ним опять эту сыворотку ешь кислую."
73,120,"Сыворотку выльешь скотине, есть уж не ешь сыворотку."
74,228,"Скиснет там, потом снимешь сметану, копишь в горшок."
75,228,"Садимся на пол и сбиваем сметану, масло."
76,37781,"Куда угодно клади отопки, так можно есть."
77,2066,"Кожу выделывают, несут сапожнику."
78,79509,"Была у нас одна вдова, жила бедно, а покататься-то ей охота."
79,1,"В приданое дают корову."
80,943,"Когда невесту да жениха встречают, ставят связки соломы по одну сторону дороги и по другую сторону."
81,1884,"Когда невесту да жениха встречают, ставят связки соломы по одну сторону дороги и по другую сторону."
82,1907,"Приходят сватать отец и жених, еще возьмут там крестного отца и крестную мать, приходят впятером сватать."
83,1907,"Девушки встанут вокруг стола, возьмут эту яичницу и уйдут в сени, чтобы не отдавать невесту замуж."
84,2066,"Приготовят им чай, испекут пироги, лепешки, иногда розанцы делают."
85,26588,"Приходят сватать отец и жених, еще возьмут там крестного отца и крестную мать, приходят впятером сватать."
86,1,"Пастух придет, ему дают белые полотняные кальсоны, полотняные рубашки."
87,1,"А другие дают крашеные кальсоны вместо штанов."
88,1,"В лес [с собой] пастуху пекут калитки, иногда колобы или яйца дают."
89,233,"Делали кузовки из бересты, по ягоды ходили с кузовками, и корзины такие, из колодца воду носить."
90,570,"Зимой шерсть хуже, а летом шерсть лучше."
91,570,"Зимой шерсть хуже, а летом шерсть лучше."
92,24421,"Ягоды росли у нас – брусника, клюква, черника, морошка, малина."
93,26588,"Народу тут: один накладывает в стог ('вокруг стога'), другой на стоговище топчет – вдвоем."
94,37193,"Если сено сухое, гладкую жердь ставим, а если сырое сено, так с сучьями жердь ставят."
95,26588,"Втроем молотим."
96,26588,"По этим колосьям втроем молотим."
97,24224,"Это все сделаешь, придет хозяин с сохой и этой сохой все вспашет вокруг пней, поднимет землю для льна."
98,24224,"Если нужны семена, возьмешь, выдергаешь без земли."
99,24224,"Если земля прилипла, надо побить о пни, и отстанет земля."
100,24224,"Если земля прилипла, надо побить о пни, и отстанет земля."
101,26588,"Огонь разведешь, и нужно подталкивать его палкой, с одной стороны подтолкнешь, потом с другой стороны подтолкнешь, горит там снизу-то, и в середине еще пошевелишь, так от одного конца до другого."
102,24060,"Для лодки нужны дуги, так выкапывали ель и из ее корней [делали], выберешь такие изогнутые и сделаешь дуги."
103,233,"Мужчины носят дрова, женщины жгут."
104,338,"Срубят ('делают') такие жерди для сжигания подсеки, положат три-четыре полена, расколотые поленья, и зажигают."
105,338,"Берут бересту и зажигают, и эта подсека сама горит."
106,1884,"[Если] толстые, так раскалывают и возят на подсеку, кладут крест-накрест, чтобы не размокли в снегу, подсохли бы."
107,1884,"Срубят ('делают') такие жерди для сжигания подсеки, положат три-четыре полена, расколотые поленья, и зажигают."
108,1884,"Кладут поперечные жерди, по ним легче катить."
109,1884,"Если лесистая пожога, подсека, так идут и зажигают огонь с краев."
110,1907,"Берут бересту и зажигают, и эта подсека сама горит."
111,2066,"Срубят ('делают') такие жерди для сжигания подсеки, положат три-четыре полена, расколотые поленья, и зажигают."
112,2066,"А так устраивают еще пожоги, просто сжигают."
113,30645,"Рубят подсеку, потом зимой заготовят ('добывают') дрова."
114,48105,"Где остаются несгоревшие островки, этот лес, остатки, собирают в костры, в кучи все эти головешки-то и опять жгут эти островки."
115,338,"Из пня натешут щепки, разжигают и щепки с огнем кладут между [чурками]."
116,561,"А в верхнюю чурку вбивают в один и другой конец деревянные клинья."
117,1433,"Хвою расстелют, не нужно ни крыши, ничего, так тепло спать у костра."
118,1625,"Так вот осенью охотники спят в лесу."
119,1884,"Две чурки срубят, метра два-три [длиной], и в этот костер кладут одну чурку вниз, под нее кладут поперечины, чтобы [она] не совсем на земле лежала ('была')."
120,1884,"Две чурки срубят, метра два-три [длиной], и в этот костер кладут одну чурку вниз, под нее кладут поперечины, чтобы [она] не совсем на земле лежала ('была')."
121,1884,"Потом на эти поперечины кладут чурку."
122,1884,"Между чурками ('в середину') кладут нетолстые палки, чтобы [чурки] не соприкасались, чтобы можно было между ними развести огонь."
123,1884,"Из пня натешут щепки, разжигают и щепки с огнем кладут между [чурками]."
124,1884,"с одной стороны жерди расколят конец и ставят к клину, а другой конец втыкают в землю."
125,1884,"Когда ложатся спать, кладут хвою, вырубают [ее]."
126,2066,"Разводят костер ('нодью')."
127,24222,"Две чурки срубят, метра два-три [длиной], и в этот костер кладут одну чурку вниз, под нее кладут поперечины, чтобы [она] не совсем на земле лежала ('была')."
128,24222,"с одной стороны жерди расколят конец и ставят к клину, а другой конец втыкают в землю."
129,24252,"Когда ложатся спать, кладут хвою, вырубают [ее]."
130,25787,"с одной стороны жерди расколят конец и ставят к клину, а другой конец втыкают в землю."
131,33789,"Одну сторону чурок рубят топором, чтобы были щепки, и кладут ('поднимают') эту чурку сверху."
132,2011,"Пришел Пешкич Ондрей, говорит:  «На этой лодке можно ехать»."
133,2011,"Пришел Игнашкин Ванька, кричит:  «Перевези меня, зятек»."
134,2480,"Пришел Пешкич Ондрей, говорит:  «На этой лодке можно ехать»."
135,2687,"Прокичевский Ришко устал,   сломалась упряжка у него."
136,228,"Архип да Михаил дерутся  да сметану делят."
137,228,"Сын Архипушки Левой   отца научил, где сметану найти:   Ешь ты, отец Архип,   Сметана не взбитая."
138,892,"«Чай хороший, масло сладкое,   не дам, боже мой»."
139,1941,"Сын Назара Левой  отца научил, где пенку найти:  Ешь ты, отец Михаил,  в печке пенка нетронутая."
140,1941,"Сын Архипушки Левой   отца научил, где сметану найти:   Ешь ты, отец Архип,   Сметана не взбитая."
141,2059,"Архип да Михаил дерутся  да сметану делят."
142,10,"Шел он, шел."
143,120,"Выпустил он воду, и построили тут часовенку."
144,1965,"Столб идет, и он пошел следом за столбом."
145,2871,"Шел он, шел."
146,1,"Мужику говорит, охотнику: «Возьми лисицу живьем, тебе больше за нее дадут»."
147,1,"Ну, народ там молится и жертву дают."
148,1907,"На продольник берет налим, щука и окунь."
149,1907,"Если можно держать живую плотичку на крючке, хорошо клюют большие окуни."
150,26219,"Я езжу с дорожкой между крючками."
151,26219,"Рано утром иногда хорошо берет среди кувшинок."
152,30714,"Все время рыба не берет, берет временами, они плавают косяками, один [косяк] уйдет – жди, скоро придет другой."
153,24224,"Коноплю сеяли в огородах на жирных землях."
154,24224,"Второй урожай хлеба не вырастал на подсеке, а для овса это лучшая земля, не надо было ее унаваживать."
155,24881,"– ""Умер, так дай я хоть обмою своего приятеля в последний раз""."
156,1861,"Зашел в избу, бабка опять ругается: «Иди живо туда обратно и вели, пусть посеют и сожнут, скотины нет, пусть скотина будет, посуда, пусть наготово хлеб молотят, скот пасут, пусть наготово пекут и варят»."
157,2111,"Зашел в избу, бабка опять ругается: «Иди живо туда обратно и вели, пусть посеют и сожнут, скотины нет, пусть скотина будет, посуда, пусть наготово хлеб молотят, скот пасут, пусть наготово пекут и варят»."
158,24881,"Вижу я, что не расчесываются мои шелковые волосы, вижу, что надо расстаться со своей светлой волюшкой."
159,24881,"Вижу я, что надо мне расстаться со своей вольной волюшкой, не хотела бы я расставаться со своею вольной да волюшкой."
160,815,"Пришла я, дорогая моя родительница, на твою высокую могилку поделиться большими обидами и большими кручинами."
161,1015,"Пришла я, дорогая моя родительница, на твою высокую могилку поделиться большими обидами и большими кручинами."
162,1249,"Пришла я, дорогая моя родительница, на твою высокую могилку поделиться большими обидами и большими кручинами."
163,1656,"Пришла я, дорогая моя родительница, на твою высокую могилку поделиться большими обидами и большими кручинами."
164,2561,"Пришла я, дорогая моя родительница, на твою высокую могилку поделиться большими обидами и большими кручинами."
165,27401,"Остались они ранними сиротинушками, нет у них дорогого кормильца, который одевал бы их и советы давал."
166,210,"Утром опять топят и опять дверь открывают."
167,2500,"Дощечку подвинут и закроют, жару выходит, что невозможно в избе быть."
168,1,"Младшую отдадут или нет?"
169,6,"Вся эта артель еще там сидит..."
170,41,"Пришел домой, говорю: «Сегодня вечером звали, так нужно идти»."
171,1257,"Пришел домой, говорю: «Сегодня вечером звали, так нужно идти»."
172,1721,"Пришел домой, говорю: «Сегодня вечером звали, так нужно идти»."
173,2066,"Пошел я и говорю: «Зажги свет, Митрой-дядя, чтобы видно было лошадь взять»."
174,2229,"Тогда праздники бывали, так по праздникам знакомились."
175,25921,"Тогда праздники бывали, так по праздникам знакомились."
176,26588,"Запрягли лошадь, поехали втроем."
177,49617,"Пришел домой, говорю: «Сегодня вечером звали, так нужно идти»."
178,1884,"Принесут снега, положат гороховой муки, соли, взбивают до тех пор, пока не поднимется в горшке [тесто]."
179,1884,"Принесут снега, положат гороховой муки, соли, взбивают до тех пор, пока не поднимется в горшке [тесто]."
180,1884,"Когда в горшке поднимется, тогда положат начинку на корку и кладут в печь."
181,1884,"Когда в горшке поднимется, тогда положат начинку на корку и кладут в печь."
182,2111,"Из этого теста пекут оладьи из гороховой муки."
183,25306,"Принесут снега, положат гороховой муки, соли, взбивают до тех пор, пока не поднимется в горшке [тесто]."
184,25306,"Пекут без дрожжей, со снегом взбивают и хорошие получаются."
185,34,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
186,140,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
187,469,"Этой щеткой расчесывают лен на последний раз."
188,470,"Потом связывают в пучок щетину."
189,470,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
190,1023,"Этой щеткой расчесывают лен на последний раз."
191,1157,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
192,1766,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
193,1766,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
194,1766,"Этой щеткой расчесывают лен на последний раз."
195,1884,"Кладут в печь живицу, растопят [живицу]."
196,2009,"Потом связывают в пучок щетину."
197,2072,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
198,2227,"Потом связывают в пучок щетину."
199,2298,"Кладут в печь живицу, растопят [живицу]."
200,2298,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
201,2440,"Кладут в печь живицу, растопят [живицу]."
202,2440,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
203,2440,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
204,2541,"Потом связывают в пучок щетину."
205,2684,"Кладут в печь живицу, растопят [живицу]."
206,46064,"Этой щеткой расчесывают лен на последний раз."
207,53499,"Живицу эту вынимают из печи, льют ее на щетину, и получается щетка."
208,25349,"Заколют, застрелят этот призор, и прикос, и наговор людской."
209,1021,"Пожогу чистят, какие головни остаются, все собирают в кучу."
210,1884,"Потом в лесу делают зарод, весь хлеб выжнут и поставят в зарод."
211,1884,"Опускают с зарода и ставят в скирды."
212,1907,"Это [крупное] зерно берут отдельно в мешки и везут на мельницу."
213,2066,"Потом в лесу делают зарод, весь хлеб выжнут и поставят в зарод."
214,25066,"Пожогу чистят, какие головни остаются, все собирают в кучу."
215,26588,"Если четверо людей, то вчетвером, если трое, то втроем, если двое, то вдвоем молотят."
216,36451,"Опускают с зарода и ставят в скирды."
217,4,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
218,1581,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
219,2111,"Насыпают в мешки, потом это зерно размалывают на мельнице, пекут хлеб и едят."
220,2547,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
221,2618,"Насыпают в мешки, потом это зерно размалывают на мельнице, пекут хлеб и едят."
222,24899,"Потом собирают в кучку все семена, осыпавшиеся от молотьбы, как межа в рядок вдоль настила ложится."
223,25181,"При дележе отмеряли мерой."
224,25379,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
225,26588,"Молотят вдвоем, втроем, вчетвером и впятером."
226,31362,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
227,34145,"Ригу натопят..."
228,35637,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
229,48105,"Потом собирают в кучку все семена, осыпавшиеся от молотьбы, как межа в рядок вдоль настила ложится."
230,53712,"Посеем хлеб, вырастет, начнем жать, снопы серпом жнешь, жнешь, спина-то заболит."
231,55302,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
232,78679,"Теперь колхозникам хорошо жить: все работы выполняют машинами."
233,26588,"А у меня еще трое детей дома осталось."
234,36006,"Огоньки уже мигают осенью."
235,26588,"Потом в деревне меня заговаривали двое, и моя нога поправилась."
236,46578,"Одна старуха отправила нас с моим сыном за сеном."
237,1,"Если десять человек, так дадут тебе десять аршин, а семь, так семь аршин дадут."
238,1,"Если десять человек, так дадут тебе десять аршин, а семь, так семь аршин дадут."
239,1,"Более богатым жителям так давали больше, а кто еще мог и в стороне обработать и вычистить кустарник, то себе выбирали и очищали."
240,1,"В аренду дадут там, может, они с дочерью вдвоем пойдут, да на сенокосе-то проработают недели три-четыре, а свое сено останется незаготовленным."
241,357,"Выкорчуют с корнями, косарем вырубят, кладут в кучи."
242,1266,"Эти кучи высохнут, на будущий год сжигают, и эту поженку будет скашивать тот хозяин, который очищал."
243,1884,"Выкорчуют с корнями, косарем вырубят, кладут в кучи."
244,1907,"Берут в руки коромысло."
245,1907,"А те работают, и живут, и еще таких вдовушек нанимают на работу, заставляют работать за один хлеб."
246,2210,"Эти кучи высохнут, на будущий год сжигают, и эту поженку будет скашивать тот хозяин, который очищал."
247,2302,"Она, бедняжка, богатым, зажиточным осенью обрабатывает лен, зимой-то прядет, весной опять ткет, отбеливает да белье шьет, кальсоны да рубашки."
248,24852,"Выкорчуют с корнями, косарем вырубят, кладут в кучи."
249,24852,"Выкорчуют с корнями, косарем вырубят, кладут в кучи."
250,25181,"Веревкой отмеривали землю, сколько у тебя, видишь, едоков хлеба."
251,25181,"Отмеривали землю, пожни, все так отмеривали."
252,25181,"Отмеривали землю, пожни, все так отмеривали."
253,25181,"Потом отмеривали забор."
254,26588,"Нас двое с сестрой было, старшая сестра Анна живет у дяди."
255,46578,"Помню я это, хорошо помню, моя мать так же жила."
256,47379,"Можешь корову держать, так хорошо."
257,1,"Ну, кормили один раз утром, второй – вечером, в карман если дадут черствую корочку на день, так проглотишь ('лизнешь'), а не дадут, так слюну поглотаешь, если совсем не высохла слюна во рту."
258,184,"Ну, эти кирпичи и шлепаешь, один глину толчет, колотит такой колотушкой, молотком, катком катает, чтобы плотно было, толщиной с кирпич, а второй только режет-помахивает, третий кладет печь, тут же, где он работает, редко ('рыхло') кладет; на два кирпича кладут, на три кирпича, вишь, ряды кирпичей-то, чтобы лучше сохли."
259,230,"Выкопают кокоры на стропила, деревья с корнями."
260,230,"Глины накопают, землистая такая глина, а потом песок такой мелкий, ногами месят, месят, [человека] там три или четыре."
261,390,"Прибьют и навес делают вдоль и крышу кроют тесом."
262,561,"Прибьют и навес делают вдоль и крышу кроют тесом."
263,1022,"Соберут девушек, человек десять на день, в воскресенье устраивают толоку."
264,1022,"Соберут девушек, человек десять на день, в воскресенье устраивают толоку."
265,1022,"Ведет их хозяин в лес."
266,1884,"Иной человек очень скупой, даже кормить скупится, так когда прокладывают сруб мхом, кладут под мох камни, чтобы изба была холодная."
267,1884,"Прибьют и навес делают вдоль и крышу кроют тесом."
268,1884,"Ну, эти кирпичи и шлепаешь, один глину толчет, колотит такой колотушкой, молотком, катком катает, чтобы плотно было, толщиной с кирпич, а второй только режет-помахивает, третий кладет печь, тут же, где он работает, редко ('рыхло') кладет; на два кирпича кладут, на три кирпича, вишь, ряды кирпичей-то, чтобы лучше сохли."
269,1884,"Ну, эти кирпичи и шлепаешь, один глину толчет, колотит такой колотушкой, молотком, катком катает, чтобы плотно было, толщиной с кирпич, а второй только режет-помахивает, третий кладет печь, тут же, где он работает, редко ('рыхло') кладет; на два кирпича кладут, на три кирпича, вишь, ряды кирпичей-то, чтобы лучше сохли."
270,1884,"А сверху кладут крышу от дождя и разводят огонь."
271,1907,"Так ведь если взять рубить дом четыре человека на четыре угла, так станет ему дорого, да убыток будет, а тут пользуется более дешевым, и легче рубится и строится [дом]."
272,1907,"Доски тесать берут человека три или четыре, кто лучше, видишь ли, тешет."
273,2032,"Едут опять же эти люди, возят им."
274,2066,"Соберут девушек, человек десять на день, в воскресенье устраивают толоку."
275,2066,"На следующее воскресенье они опять толоку устраивают – возить на дровнях и подсанках эти бревна."
276,2066,"А сверху кладут крышу от дождя и разводят огонь."
277,2114,"Начали строить, [если] людей нанять, так надо хорошо платить, чтоб не жаловались."
278,2128,"Глины накопают, землистая такая глина, а потом песок такой мелкий, ногами месят, месят, [человека] там три или четыре."
279,2128,"Глины накопают, землистая такая глина, а потом песок такой мелкий, ногами месят, месят, [человека] там три или четыре."
280,2612,"Утром их завтраком покормят, ведут на заполье и весь день заставляют жать."
281,2612,"Обедом накормят уже в четыре или три часа; в три часа – это самый ранний обед, а [обычно] день уже к вечеру клонится, когда обедом кормят."
282,2612,"Обедом накормят уже в четыре или три часа; в три часа – это самый ранний обед, а [обычно] день уже к вечеру клонится, когда обедом кормят."
283,2612,"Это [были] скупые люди, так им строили, тем, кто скупился очень кормить работников, а кто не скупился кормить, так и народ прилагал силу, по-хорошему все как им надо делали, укладывали мох плотно, чтобы было тепло."
284,2612,"Это [были] скупые люди, так им строили, тем, кто скупился очень кормить работников, а кто не скупился кормить, так и народ прилагал силу, по-хорошему все как им надо делали, укладывали мох плотно, чтобы было тепло."
285,24225,"На следующее воскресенье они опять толоку устраивают – возить на дровнях и подсанках эти бревна."
286,24252,"Ну, эти кирпичи и шлепаешь, один глину толчет, колотит такой колотушкой, молотком, катком катает, чтобы плотно было, толщиной с кирпич, а второй только режет-помахивает, третий кладет печь, тут же, где он работает, редко ('рыхло') кладет; на два кирпича кладут, на три кирпича, вишь, ряды кирпичей-то, чтобы лучше сохли."
287,25787,"Потом жнут вечером до тех пор, что не видно уже серпа."
288,30736,"Начали строить, [если] людей нанять, так надо хорошо платить, чтоб не жаловались."
289,34273,"Ну, эти кирпичи и шлепаешь, один глину толчет, колотит такой колотушкой, молотком, катком катает, чтобы плотно было, толщиной с кирпич, а второй только режет-помахивает, третий кладет печь, тут же, где он работает, редко ('рыхло') кладет; на два кирпича кладут, на три кирпича, вишь, ряды кирпичей-то, чтобы лучше сохли."
290,48105,"А устраивают толоку, собирают мужиков да парней."
291,54464,"Метку делают и тес тешут, горбыли."
292,1884,"Семян берут одну ложку, и одну ложку смешивают с мерой земли, кладут в мешок и сеют."
293,1884,"Ее [репу] вымоют и ставят в чугуне в печку, до обеда она парится."
294,1884,"Репу варят у огня в печке и выливают в квашню (всегда называли квашней для репницы), кладут туда закваски;"
295,1884,"Репу варят у огня в печке и выливают в квашню (всегда называли квашней для репницы), кладут туда закваски;"
296,1907,"Семян берут одну ложку, и одну ложку смешивают с мерой земли, кладут в мешок и сеют."
297,2066,"А для одной ложки семян подготавливают большую площадь подсеки."
298,2066,"В яме на камнях разводят костер, [получается] ямка из камней."
299,2066,"Репу также парят."
300,2146,"Ее [репу] вымоют и ставят в чугуне в печку, до обеда она парится."
301,1269,"А на репницу репу приготовляют так: репу вымоют, сырую репу разрезают на кусочки, кладут в печку и высушивают."
302,1884,"А на репницу репу приготовляют так: репу вымоют, сырую репу разрезают на кусочки, кладут в печку и высушивают."
303,2066,"А на репницу репу приготовляют так: репу вымоют, сырую репу разрезают на кусочки, кладут в печку и высушивают."
304,2146,"А на репницу репу приготовляют так: репу вымоют, сырую репу разрезают на кусочки, кладут в печку и высушивают."
305,2066,"Когда делают пиво, то и в пиво кладут эти дрожжи, хорошо класть и [когда пекут] булки."
306,1730,"В июне мы берем бересту, сдираем с березы на кошели да ступни, да корзины."
307,1907,"В июне мы берем бересту, сдираем с березы на кошели да ступни, да корзины."
308,24222,"У самой земли нельзя ее срубать."
309,24222,"Если у земли срубишь, так нельзя очищать, а [надо], чтобы хоть на полметра был комель от земли."
310,77781,"Для помывки в бане делаем мочалки."
311,230,"Осенью колхозники копают картошку в эти корзины."
312,1884,"Мелкий картофель кормят свиньям, а крупный кладут в ямы."
313,1907,"Выбирают хорошую гладкую сосну, берут, валят на бок, распиливают."
314,2066,"Делают еще корзиночки с ручкой, их носят на руке, когда собирают картофель в две корзины."
