concept_id	concept_ru	category	note_ru	note_en
821	прясло	agricultural term	"Прясло — перекладина или секция плетня/забора из жердей для сушки сена. Также означает секцию изгороди. В контексте сенокоса лучше переводить как ""hay-drying rack"" или ""hay rail""."	"Praslo is a horizontal rail or panel of a pole fence, used for drying hay. In the context of haying it is best translated as ""hay-drying rack"" or ""hay rail"". Note it also means a section of a wattle fence."
823	стожар	agricultural term	"Стожар — центральный кол в стогу. Некоторые источники используют ""staddle post"" или ""haystack pole"". Термин staddle обычно относится к опоре под стогом; ""haystack centre pole"" точнее."	"Stojhar is the central pole of a haystack around which hay is stacked. ""Haystack centre pole"" is more precise than ""staddle post"" (which typically refers to the base supports)."
800	рига	cultural term	"Рига — характерное для Карелии, Финляндии и Прибалтики строение для сушки и обмолота зерна. Термин ""riga"" используется в финноугроведческой литературе; ""threshing barn"" как поясняющий перевод."	"Riga is a Karelian/Finnish/Baltic threshing barn used for drying and threshing grain. The term ""riga"" is used in Finno-Ugric studies; ""threshing barn"" is an acceptable explanatory translation."
778	соха	cultural term	"Соха — традиционное русское/карельское пахотное орудие, принципиально отличающееся от западного плуга (plow/plough): она рыхлит почву, не переворачивая пласт. Перевод ""wooden plough"" может ввести в заблуждение; рекомендуется ""sokha (wooden forked plough)"" или оставить транслитерацию ""sokha""."	"Sokha is a traditional Russian/Karelian ard-like tillage implement, fundamentally different from a Western mouldboard plough: it loosens the soil without inverting the furrow slice. The gloss ""wooden plough"" may mislead; ""sokha"" as a loanword with a brief description is preferable."
593	хлебать	semantic range	"Хлебать означает пить или есть жидкое, зачёрпывая ложкой, или громко хлебать. ""To slurp"" передаёт звуковой аспект, ""to lap"" — движение языком. В контексте ВепКар наиболее нейтральным является ""to eat/drink (noisily)""."	"Khlebat means to eat or drink liquid by spooning or lapping, often noisily. ""To slurp"" captures the auditory aspect; ""to lap"" the motion. In VepKar context ""to eat/drink (liquid food)"" may be the most neutral gloss."
600	парить	ambiguous	"Парить в кулинарном контексте = готовить на пару (""to steam""). Но в том же тексте может означать ""парить (в бане)"" (concept 690) или ""парить (в воздухе)"". Контекст категории B181 указывает на кулинарное значение."	"Parit in the food context (B181) means ""to steam (in cooking)"". The same verb also means ""to steam oneself in the bathhouse"" (concept 690) and ""to soar/hover (in the air)"". The B181 category confirms the culinary sense here."
735	хаять	dialectal/colloquial	"Хаять — диалектный или просторечный глагол со значением ""ругать, порочить"". Литературный эквивалент — хулить, поносить. Перевод ""to disparage / to badmouth"" передаёт коннотацию."	"Khayat is a dialectal/colloquial verb meaning to criticise harshly or disparage. The literary equivalents are khúlit, ponosít. ""To disparage / to badmouth"" conveys the register."
850	яловый	ambiguous	"Яловый в применении к корове = не стельная в этом году (яловость). В применении к коже = без обработки дёгтем (яловая кожа). Перевод ""barren / yeld"" корректен для животноводческого контекста."	"Yaloviy of a cow = not having calved this year (barren / yeld). Of leather = untreated with tar (a different sense). The gloss ""barren; yeld"" is correct for the livestock context (B331)."
751	подряд	ambiguous	"Подряд может означать ""контракт/договор на работу"" (B31, что здесь) или наречие ""подряд = один за другим"". В контексте категории B31 (работа) значение — ""job contract""."	"Podryad can mean ""job contract / contract work"" (B31 context) or adverbially ""in a row / consecutively"". In category B31 (work) the nominal reading ""job contract"" is correct."
596	завтрак	existing translation check	"Нет существующего перевода; предложен ""breakfast"". Следует учитывать, что в текстах ВепКар завтрак может обозначать первый утренний приём пищи, не всегда совпадающий с западным понятием ""breakfast""."	"No previous translation. The proposed ""breakfast"" is correct. Note that in VepKar texts завтрак may sometimes refer to a mid-morning snack rather than the first meal of the day."
809	прясло	note	concept_id 821. Прясло встречается в двух значениях: (1) секция изгороди, (2) стойка для сушки сена. В данном файле оно отнесено к сенокосу (B324), что определяет значение (2).	Praslo (concept 821) has two meanings: (1) a section of a pole fence; (2) a hay-drying rack. In this file it is under the haying category B324, confirming meaning (2).
